"Linear Codes","Code-128","Code128","11009988"
"Linear Codes","Code-11","Code11","11009988"
"Linear Codes","Code-2of5 Interleaved","Code25IL","11009988"
"Linear Codes","Code-39","Code39","11009988"
"Linear Codes","Code-39 Full ASCII","Code39FullASCII","11009988"
"Linear Codes","Code-93","Code93","11009988"
"Linear Codes","Flattermarken","Flattermarken","11009988"
"Linear Codes","GS1-128(UCC/EAN-128)","GS1-128","11009988"
"Linear Codes","MSI","MSI","11009988"
"Linear Codes","Pharmacode One-Track","OneTrackPharmacode","11009988"
"Linear Codes","Pharmacode Two-Track","TwoTrackPharmacode","11009988"
"Linear Codes","Telepen Alpha","TelepenAlpha","11009988"
"Postal Codes","Australian Post Standard Customer","AustralianPost","12345678"
"Postal Codes","DAFT","DAFT","DAFTFDATATFDTFAD"
"Postal Codes","DPD Barcode (DPD Parcel Label)","DPD","X007110601631234567890136276"
"Postal Codes","Japanese Postal (Customer) Code","JapanesePostal","1234567"
"Postal Codes","KIX (TNT Post Netherlands)","KIX","11009988"
"Postal Codes","Korean Postal Authority Code","KoreanPostal","123456"
"Postal Codes","Planet Code 12","PlanetCode12","12345678901"
"Postal Codes","Royal Mail 4-State ","RoyalMail","1234567ABC"
"Postal Codes","Royal Mail Mailmark 4-State","RoyalMailMailmark","41038422416563762EF61AH8T "
"Postal Codes","Royal Mail Mailmark 2D","RoyalMailMailmark2D","JGB 012100123412345678AB19XY1A 0             123456"
"Postal Codes","USPS PostNet 5","PostNet5","12345"
"Postal Codes","USPS PostNet 9","PostNet9","123456789"
"Postal Codes","USPS Postnet 11","PostNet11","12345678901"
"Postal Codes","USPS IM Package","USPSIMPackage","9102805213683062522920"
"Postal Codes","UPU S10","UPUS10","EM100027995SE"
"GS1 DataBar","GS1-DataBar","GS1DataBar","0123456789012"
"GS1 DataBar","GS1-DataBar Stacked","GS1DataBarStacked","1234567890123"
"GS1 DataBar","GS1-DataBar Stacked Ommi","GS1DataBarStackedOmni","1234567890123"
"GS1 DataBar","GS1-DataBar Limited","GS1DataBarLimited","0123456789012"
"GS1 DataBar","GS1-DataBar Expanded","GS1DataBarExpanded","11009988"
"GS1 DataBar","GS1-DataBar Expanded Stacked","GS1DataBarExpandedStacked","11009988"
"GS1 DataBar","GS1-128 Composite Symbology","GS1-128CCA","11009988"
"GS1 DataBar","GS1-DataBar Composite","GS1DataBarCCA","1234567890123|2D-data"
"GS1 DataBar","GS1-DataBar Stacked Composite","GS1DataBarStackedCCA","1234567890123"
"GS1 DataBar","GS1-DataBar Stacked Omni Composite","GS1DataBarStackedOmniCCA","1234567890123"
"GS1 DataBar","GS1-DataBar Limited Composite","GS1DataBarLimitedCCA","0123456789012"
"GS1 DataBar","GS1-DataBar Expanded Composite","GS1DataBarExpandedCCA","11009988"
"GS1 DataBar","GS1-DataBar Expanded Stacked Composite","GS1DataBarExpandedStackedCCA","11009988"
"EAN / UPC","EAN-8","EAN8","9031101"
"EAN / UPC","EAN-13","EAN13","978020137962"
"EAN / UPC","EAN-14","EAN14","1845678901001"
"EAN / UPC","EAN-8 Composite Symbology","EAN8CCA","1234567|2D-data comes here"
"EAN / UPC","EAN-13 Composite Symbology","EAN13CCA","123456789012|2D-data comes here"
"EAN / UPC","UPC-A","UPCA","72527273070"
"EAN / UPC","UPC-E","UPCE","0123456"
"2D Codes","QR Code","QRCode","11009988"
"2D Codes","QR Code (Mobile/Smartphone)","MobileQRCode","11009988"
"2D Codes","Data Matrix","DataMatrix","11009988"
"2D Codes","Aztec","Aztec","11009988"
"2D Codes","Codablock-F","CodablockF","11009988"
"2D Codes","MaxiCode","MaxiCode","11009988"
"2D Codes","MicroPDF417","MicroPDF417","11009988"
"2D Codes","PDF417","PDF417","11009988"
"2D Codes","Micro QR Code","MicroQR","11009988"
"2D Codes","Han Xin","HanXin","11009988"
"2D Codes","DotCode","DotCode","11009988"
"2D Codes","NTIN Code","NTIN","04150123456782"
"2D Codes","PPN Code","PPN","9N110375286414"
"GS1 2D Barcodes","GS1 QR Code","GS1QRCode","11009988"
"GS1 2D Barcodes","GS1 DataMatrix","GS1DataMatrix","11009988"
"GS1 2D Barcodes","GS1 Digital Link QR code","GS1DigitalLink_QRCode","11009988"
"GS1 2D Barcodes","GS1 Digital Link Data Matrix","GS1DigitalLink_DataMatrix","11009988"
"Banking and Payments","EPC QR Code V2","EPCQRCode","11009988"
"Banking and Payments","ZATCA QR Code","ZATCAQRCode","11009988"
"Mobile Tagging","QR Code\QR Code (Mobile/Smartphone)","MobileQRCode","11009988"
"Mobile Tagging","QR Code\URL","MobileQRUrl","11009988"
"Mobile Tagging","QR Code\Dial a Phonenumber","MobileQRPhone","11009988"
"Mobile Tagging","QR Code\Text a Message (SMS)","MobileQRSMS","11009988"
"Mobile Tagging","QR Code\Twitter Profile","MobileQRTwitterProfile","11009988"
"Mobile Tagging","QR Code\Twitter Tweet","MobileQRTwitterStatus","11009988"
"Mobile Tagging","QR Code\Facebook Profile","MobileQRFacebookProfile","11009988"
"Mobile Tagging","QR Code\Facebook Like","MobileQRFacebookLike","11009988"
"Mobile Tagging","QR Code\LinkedIn User Profile","MobileQRLinkedInProfile","11009988"
"Mobile Tagging","QR Code\LinkedIn Company Profile","MobileQRLinkedInCompanyProfile","11009988"
"Mobile Tagging","QR Code\LinkedIn Share","MobileQRLinkedInShare","11009988"
"Mobile Tagging","QR Code\Google Play Publisher Search","MobileQRAndroidMarketPubSearch","11009988"
"Mobile Tagging","QR Code\Google Play Package Search","MobileQRAndroidMarketPackSearch","11009988"
"Mobile Tagging","","MobileSemaUrl","11009988"
"Mobile Tagging","Data Matrix\URL","MobileSemaPhone","11009988"
"Mobile Tagging","Data Matrix\Dial a Phonenumber","MobileSemaSMS","11009988"
"Mobile Tagging","Data Matrix\Text a Message (SMS)","MobileSemaTwitterProfile","11009988"
"Mobile Tagging","Data Matrix\Twitter Profile","MobileSemaTwitterStatus","11009988"
"Mobile Tagging","Data Matrix\Twitter Tweet","MobileSemaFacebookProfile","11009988"
"Mobile Tagging","Data Matrix\Facebook Profile","MobileSemaFacebookLike","11009988"
"Mobile Tagging","Data Matrix\Facebook Like","MobileSemaLinkedInProfile","11009988"
"Mobile Tagging","Data Matrix\LinkedIn User Profile","MobileSemaLinkedInCompanyProfile","11009988"
"Mobile Tagging","Data Matrix\LinkedIn Company Profile","MobileSemaLinkedInShare","11009988"
"Mobile Tagging","Data Matrix\LinkedIn Share","MobileSemaAndroidMarketPubSearch","11009988"
"Mobile Tagging","Data Matrix\Google Play Publisher Search","MobileSemaAndroidMarketPackSearch","11009988"
"Mobile Tagging","Data Matrix\Google Play Package Search","MobileAztecUrl","11009988"
"Mobile Tagging","","MobileAztecPhone","11009988"
"Mobile Tagging","","MobileAztecSMS","11009988"
"Mobile Tagging","","MobileAztecTwitterProfile","11009988"
"Mobile Tagging","","MobileAztecTwitterStatus","11009988"
"Mobile Tagging","","MobileAztecFacebookProfile","11009988"
"Mobile Tagging","","MobileAztecFacebookLike","11009988"
"Mobile Tagging","","MobileAztecLinkedInProfile","11009988"
"Mobile Tagging","","MobileAztecLinkedInCompanyProfile","11009988"
"Mobile Tagging","","MobileAztecLinkedInShare","11009988"
