"-All Categories-Work","Work","Work","rgb( 0,0,255 )","255","0","#0000FF","0","6","●"
"-All Categories-Miscellaneous","Miscellaneous","Miscellaneous","rgb( 0,255,0 )","0","255","#00FF00","0","7","●"
"-All Categories-Home","Home","Home","rgb( 103,78,167 )","167","78","#674EA7","103","8","●"
"-All Categories-Appointments","Appointments","Appointments","rgb( 255,0,0 )","0","0","#FF0000","255","9","●"
"-All Categories-Dull Orange","Dull Orange","Dull Orange","rgb( 230,145,56 )","56","145","#E69138","230","10","●"
"-All Categories-Dull Green","Dull Green","Dull Green","rgb( 147,196,125 )","125","196","#93C47D","147","11","●"
"-All Categories-Hot Orange","Hot Orange","Hot Orange","rgb( 255,83,8 )","8","83","#FF5308","255","13","●"
"-All Categories-Dark Green","Dark Green","Dark Green","rgb( 34,138,34 )","34","138","#228A22","34","14","●"
"-All Categories-Peach","Peach","Peach","rgb( 255,169,122 )","122","169","#FFA97A","255","15","●"
"-All Categories-Brown","Brown","Brown","rgb( 184,134,11 )","11","134","#B8860B","184","16","●"
"-All Categories-Tourquoise","Tourquoise","Tourquoise","rgb( 32,178,170 )","170","178","#20B2AA","32","17","●"
"-All Categories-Installations","Installations","Installations","rgb( 139,0,0 )","0","0","#8B0000","139","18","●"
"-All Categories-Medium Gray","Medium Gray","Medium Gray","rgb( 128,128,128 )","128","128","#808080","128","19","●"
"-All Categories-Light Gray","Light Gray","Light Gray","rgb( 192,192,192 )","192","192","#C0C0C0","192","20","●"
"-All Categories-Army Green","Army Green","Army Green","rgb( 128,128,0 )","0","128","#808000","128","21","●"
"-All Categories-Dark red","Dark red","Dark red","rgb( 90,0,0 )","0","0","#5A0000","90","CAT31","●"
