Category,ColorHex,ID_Category,ColorB,ColorG,ColorR
Work,255,0,#0000FF,0,6
Miscellaneous,0,255,#00FF00,0,7
Home,167,78,#674EA7,103,8
Appointments,0,0,#FF0000,255,9
Dull Orange,56,145,#E69138,230,10
Dull Green,125,196,#93C47D,147,11
Hot Orange,8,83,#FF5308,255,13
Dark Green,34,138,#228A22,34,14
Peach,122,169,#FFA97A,255,15
Brown,11,134,#B8860B,184,16
Tourquoise,170,178,#20B2AA,32,17
Installations,0,0,#8B0000,139,18
Medium Gray,128,128,#808080,128,19
Light Gray,192,192,#C0C0C0,192,20
Army Green,0,128,#808000,128,21
Dark red,0,0,#5A0000,90,CAT31
